Date	Financials	Consumer Discretionary	Consumer Staples	Health	Industrials	Information Tech	Materials	Real Estate	Tele Services	Utilities	Energy
18/8/2015	-0.00091157	0.000972569	-0.005034241	-0.001410378	-0.001617111	-0.005850801	-0.00687289	0.000687711	-6.59E-05	-0.002764576	-0.003993573
19/8/2015	-0.008623802	-0.002341463	-0.01006094	-0.004294116	-0.009654317	-0.008538548	-0.012372787	-0.005761994	6.59E-05	0.004244978	-0.027868771
20/8/2015	-0.02131637	-0.027988487	-0.008406863	-0.022924316	-0.021110843	-0.024583658	-0.017836318	-0.00845383	-0.013102485	-0.005909227	-0.022072481
21/8/2015	-0.031184587	-0.032900737	-0.02607122	-0.031587376	-0.027150031	-0.042146441	-0.024682038	-0.019035889	-0.017212635	-0.012105734	-0.034764258
24/8/2015	-0.047249261	-0.040151526	-0.03355331	-0.039665843	-0.033421482	-0.034615634	-0.041894476	-0.047884605	-0.030955113	-0.037201275	-0.051764093
25/8/2015	-0.016497926	-0.003963672	-0.011185132	-0.014149922	-0.016084549	-0.011852358	-0.017968704	-0.027844707	-0.022416791	-0.031613557	-0.013596112
26/8/2015	0.038361225	0.038515504	0.030428112	0.042803719	0.030984197	0.052785389	0.028192213	0.028583218	0.032604822	0.016770292	0.035036989
27/8/2015	0.026292121	0.023521563	0.014463821	0.019176338	0.023876506	0.024030261	0.036240821	0.021301067	0.022623139	0.012045988	0.049111857
28/8/2015	-0.003794147	0.000234013	-0.002168305	-0.004157158	0.001305512	0.002385128	0.006228128	-0.002586051	-0.002714399	-0.002975687	0.020509882
31/8/2015	-0.007522866	-0.007335519	-0.00719553	-0.018483895	-0.009351685	-0.008867607	-0.005310622	-0.021023536	-0.002381642	-0.016116418	0.010539252
1/9/2015	-0.034918048	-0.0261249	-0.021185673	-0.026330325	-0.02632297	-0.03352119	-0.031702145	-0.02043873	-0.025919126	-0.026740693	-0.036575023
2/9/2015	0.014590873	0.020983519	0.013100419	0.019757809	0.021814152	0.026228901	0.014373711	0.011931344	0.015125017	9.59E-05	0.009217552
3/9/2015	0.004631804	0.000592486	0.006913225	-0.00635106	0.000798299	-0.001067477	0.006147789	0.002497578	0.007725703	0.005178053	0.003292307
4/9/2015	-0.019312056	-0.011183652	-0.016440591	-0.013107186	-0.014198161	-0.0148247	-0.020268266	-0.020683703	-0.017249566	-0.014977341	-0.017296524
8/9/2015	0.025807109	0.023219218	0.0212359	0.028645737	0.027926801	0.028308179	0.025365126	0.016387649	0.020756395	0.020483323	0.01475722
9/9/2015	-0.013684546	-0.011153818	-0.017438392	-0.016470757	-0.010795291	-0.013370772	-0.007825597	-0.013911521	-0.010167216	-0.012669631	-0.019404251
10/9/2015	0.004581504	0.002722651	0.002242074	0.009171954	0.000863962	0.01037481	0.002093292	0.001947948	0.000206803	-0.001922474	0.005412544
11/9/2015	0.003557834	0.007403809	0.004620417	0.006899823	0.005224633	0.00609542	-0.001566633	0.01484617	0.000758154	0.007993469	-0.007407572
14/9/2015	-0.002932941	-0.005658522	-0.003475366	-0.003573633	-0.004722942	-0.002784821	-0.012777454	-0.001335166	-0.003925565	0.002579627	-0.008048643
15/9/2015	0.0147402	0.010808962	0.01230027	0.013655768	0.01677909	0.01267059	0.008363692	0.009416934	0.012722093	0.004955489	0.010913352
16/9/2015	0.00637105	0.011426263	0.011325702	0.003465184	0.00893216	0.005309935	0.014449148	0.012150882	-0.002184798	0.010051657	0.027691815
17/9/2015	-0.013136314	0.002503202	0.000244773	0.008675495	-0.006352076	-0.006755581	-0.005142376	0.009387854	-0.010810719	0.013143703	-0.0003579
18/9/2015	-0.019180744	-0.015244401	-0.012032209	-0.014607101	-0.02073727	-0.013221101	-0.020452939	-0.002761995	-0.010306463	-0.006208573	-0.026218216
21/9/2015	0.010660843	0.007473338	0.008545741	-0.01375086	0.004526408	0.009959363	0.002923158	0.007856655	0.002585932	0.004289236	0.005730832
22/9/2015	-0.013298772	-0.01261693	-0.011256882	-0.006217358	-0.013427513	-0.015757205	-0.018245164	-0.012786713	-0.009898907	-0.012441427	-0.01083733
23/9/2015	0.000819833	-0.002699925	0.001945812	-0.001318405	-0.006610064	0.002396233	-0.021205988	0.003976578	-0.006266278	0.002397451	-0.01371679
24/9/2015	-0.007175866	-0.003127498	0.001012314	-0.010548773	-0.007000598	-1.50E-05	-0.002915014	-0.010128407	-0.000779372	0.008159774	0.004121565
25/9/2015	0.014521432	0.0001012	0.007223644	-0.02702427	0.0027688	-0.001703243	-0.00118516	0.007716879	0.005388885	0.010047464	0.002787698
28/9/2015	-0.02361737	-0.028941465	-0.016023886	-0.038382902	-0.019792098	-0.023571493	-0.03243419	-0.01951323	-0.01431694	-0.005848781	-0.035810475
29/9/2015	0.003831525	-0.00291787	-2.08E-05	0.009000043	0.006320234	-0.005502454	0.00416975	0.012496317	0.000500911	0.000880171	0.000136206
30/9/2015	0.013408935	0.02663388	0.009829445	0.021386067	0.015666174	0.022671168	0.021413428	0.010056624	0.0097261	0.017402619	0.024469411
1/10/2015	0.001375605	0.007278922	-0.000185594	0.008876573	-0.001736996	-0.00043701	0.010562014	0.005374198	-0.007436809	-0.011873353	0.000553918
2/10/2015	-0.000588692	0.014250619	0.013015134	0.020883491	0.011646496	0.015212685	0.024137292	0.008215122	0.001070315	0.013166984	0.040103672
5/10/2015	0.021566241	0.014448967	0.017042321	0.003269984	0.029537909	0.019261947	0.026418088	0.018807961	0.026730346	0.013450227	0.028529442
6/10/2015	-0.004548992	-0.007007022	-0.005685678	-0.02330783	-0.000244994	0.001806723	0.012756515	-0.003889382	-0.001666136	-0.007218763	0.02229396
7/10/2015	0.007916657	0.003429316	0.008617563	0.0146935	0.013301549	0.003868714	0.013373897	0.008908988	-0.00333794	-0.003071054	0.013262905
8/10/2015	0.005140438	0.011715036	0.011578208	0.003811381	0.014248291	0.004491375	0.014147821	0.008394163	0.00900079	0.012050323	0.018924484
9/10/2015	-0.0056542	0.001688961	0.002683853	0.004444557	0.002991751	0.005105836	-0.000540694	-0.002378392	-0.006223594	-0.004073359	-0.007256633
12/10/2015	0.001533434	0.00473426	0.002342063	0.002351572	0.001059161	0.00208078	-0.008800412	0.00563507	0.003896719	0.009034089	-0.010845925
13/10/2015	-0.006506997	-0.005486476	-0.00645999	-0.012360689	-0.010644779	-0.00326498	-0.003929907	-0.007435371	-0.000485252	-0.002583527	-0.008967605
14/10/2015	-0.00956757	-0.010189626	-0.011324132	-0.002503015	-0.010191796	-0.000977047	0.008840555	-0.007219639	-0.002357811	-4.46E-05	0.00947195
15/10/2015	0.023112597	0.012605841	0.009734795	0.021815919	0.010186522	0.011390011	0.002462314	0.01410685	0.012512186	0.014246806	0.016270701
16/10/2015	0.004340647	0.005957479	0.009918001	0.009973465	-0.002379074	0.002858091	0.00025288	0.009920722	0.005080257	0.002201673	0.001768047
19/10/2015	-0.000283909	0.004522043	0.003665639	0.002741615	0.000546962	0.003076768	-0.007728196	0.013400298	-0.00266393	-8.79E-05	-0.019276433
20/10/2015	0.005269844	-0.002274946	-0.00062499	-0.015180144	0.005401035	-0.003505607	0.002292845	-0.001158999	0.008013138	0.003119744	0.00167959
21/10/2015	-0.007722077	-0.003837495	-0.001328949	-0.008605357	0.001261416	-0.007815863	-0.009259215	-0.001318565	-0.006454661	-0.001533098	-0.010360114
22/10/2015	0.017588904	0.013926424	0.019960044	-0.005372721	0.02782544	0.02361816	0.02748763	0.014364939	0.017233156	0.011801362	0.020332044
23/10/2015	0.010196781	0.004165069	-0.000805769	0.019861678	0.003001001	0.030447847	0.007989977	-0.011922781	-0.000268862	-0.017777418	-0.001976871
26/10/2015	-0.003262033	0.007694086	-0.001536075	0.005034188	-0.001390652	-0.003198848	-0.007077391	0.001791529	0.000739699	-0.004193692	-0.025195605
27/10/2015	-0.0060206	-0.005294406	0.00069228	0.017326459	-0.009874652	-0.00545268	-0.004846878	-0.000525935	-0.01007929	-0.002837128	-0.011561991
28/10/2015	0.0241039	0.009460618	-0.004727421	0.009676334	0.00686187	0.015258247	0.015506881	0.001631394	0.009706711	-0.011291938	0.022181581
29/10/2015	-0.003912674	0.002722393	-3.87E-05	0.003860073	-0.000613801	-0.003420523	0.001022741	0.000262718	6.72E-05	-0.006294937	0.00297645
30/10/2015	-0.013519693	0.002278152	-0.01090991	-0.005556877	-0.002181323	-0.007702407	0.00278319	-0.007511335	0.004100569	0.005113144	0.006817577
2/11/2015	0.016174307	0.004390115	0.005310177	0.019988109	0.011906752	0.009913756	0.005375206	0.023445398	0.001539874	0.001440562	0.024397045
3/11/2015	-0.000486023	0.004061095	-0.005398639	-0.003256156	0.000104911	0.006418481	0.004263204	-0.010342331	-0.004144454	0.002832119	0.025313049
4/11/2015	-0.003768395	-0.006483701	-0.004217297	-0.004506722	-0.002474713	0.000924478	-0.006472096	-0.005747759	-0.005772591	0.004213746	-0.010447893
